Year,SeriesCode,Страна ,Age,Value
2013,FB_CBK_BRCH,Czechia,15+,24.2946469047906
2014,FB_CBK_BRCH,Czechia,15+,24.2136697273311
2015,FB_CBK_BRCH,Czechia,15+,23.6815730998777
2016,FB_CBK_BRCH,Czechia,15+,22.3559237170791
2017,FB_CBK_BRCH,Czechia,15+,21.284086330396
2018,FB_CBK_BRCH,Czechia,15+,21.263594686464
2019,FB_CBK_BRCH,Czechia,15+,20.5694124830983
2020,FB_CBK_BRCH,Czechia,15+,18.2971124848555
2021,FB_CBK_BRCH,Czechia,15+,17.3343440964961
2004,FB_CBK_BRCH,Denmark,15+,50.07967427943
2005,FB_CBK_BRCH,Denmark,15+,50.1988542128554
2006,FB_CBK_BRCH,Denmark,15+,50.518932280671
2009,FB_CBK_BRCH,Sweden,15+,22.9642797784237
2010,FB_CBK_BRCH,Sweden,15+,22.5032158398118
2011,FB_CBK_BRCH,Sweden,15+,21.7016144632134
2012,FB_CBK_BRCH,Sweden,15+,21.8111357251157
2013,FB_CBK_BRCH,Sweden,15+,21.544332850924
2014,FB_CBK_BRCH,Sweden,15+,21.107030805444
2015,FB_CBK_BRCH,Sweden,15+,19.3226343191455
2016,FB_CBK_BRCH,Sweden,15+,17.541663891473
2017,FB_CBK_BRCH,Sweden,15+,16.1724021452173
2018,FB_CBK_BRCH,Sweden,15+,14.9053865682196
2019,FB_CBK_BRCH,Sweden,15+,16.4163216975469
2020,FB_CBK_BRCH,Sweden,15+,13.8003082498759
2021,FB_CBK_BRCH,Sweden,15+,11.4144150887608
2007,FB_CBK_BRCH,Denmark,15+,51.8562073205776
2008,FB_CBK_BRCH,Denmark,15+,50.4495426547205
2009,FB_CBK_BRCH,Denmark,15+,45.7967540057226
2010,FB_CBK_BRCH,Denmark,15+,40.8621563487159
2011,FB_CBK_BRCH,Denmark,15+,38.7250905168959
2012,FB_CBK_BRCH,Denmark,15+,34.0838284275184
2013,FB_CBK_BRCH,Denmark,15+,30.0146477509792
2014,FB_CBK_BRCH,Denmark,15+,27.7858164192604
2015,FB_CBK_BRCH,Denmark,15+,24.6921155557154
2016,FB_CBK_BRCH,Denmark,15+,24.0511567476054
2017,FB_CBK_BRCH,Denmark,15+,20.70940836523
2018,FB_CBK_BRCH,Denmark,15+,20.8466594932671
2019,FB_CBK_BRCH,Denmark,15+,19.9967042468926
2004,FB_CBK_BRCH,Switzerland,15+,57.3580558392106
2005,FB_CBK_BRCH,Switzerland,15+,56.7972001036356
2006,FB_CBK_BRCH,Switzerland,15+,55.6225380742319
2007,FB_CBK_BRCH,Switzerland,15+,55.2813493741985
2008,FB_CBK_BRCH,Switzerland,15+,53.9538317974208
2009,FB_CBK_BRCH,Switzerland,15+,52.6805917964265
2010,FB_CBK_BRCH,Switzerland,15+,51.7707756754687
2011,FB_CBK_BRCH,Switzerland,15+,50.2460958961824
2012,FB_CBK_BRCH,Switzerland,15+,48.8847289864703
